Name,Slug,Collection ID,Item ID,Created On,Updated On,Published On,External Link,Thumbnail,short description,long description,Category,Resource Type
H.E.R. Space,h-e-r-space,5ee2e19f496d2260820fd718,5ee2e8397f20ede843a22ba1,Fri Jun 12 2020 02:28:09 GMT+0000 (Coordinated Universal Time),Sat Jun 13 2020 17:21:58 GMT+0000 (Coordinated Universal Time),Sat Jun 13 2020 17:53:49 GMT+0000 (Coordinated Universal Time),https://herspacepodcast.com/,https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5ee50b347d47075155a8610e_her%20space%20podcast%20icon.png,"Every Friday, join Dr. Dominique Broussard and Terri Lomax as they initiate authentic conversations on everything from fibroids to fake friends.","<p>In a world where black women are often underrepresented and misunderstood, we need more safe spaces to just… be. Every Friday, join Dr. Dominique Broussard, a college professor and psychologist, and Terri Lomax, a techie and motivational speaker, as they initiate authentic conversations on everything from fibroids to fake friends.If you’re a black woman or woman of color looking for an extra dose of inspiration on the go, pull up a seat and join us on the H.E.R. (Healing, Empowerment, Resilience) Space podcast. Episodes are published every Friday on iTunes, Google Play, Soundcloud, and most platforms where podcasts are played.We can’t wait to meet you, sis. 🙂</p>",Resource,Podcasts
Slay Girl Slay,slay-girl-slay,5ee2e19f496d2260820fd718,5ee2e83840a1910536a30414,Fri Jun 12 2020 02:28:08 GMT+0000 (Coordinated Universal Time),Sat Jun 13 2020 17:31:14 GMT+0000 (Coordinated Universal Time),Sat Jun 13 2020 17:53:49 GMT+0000 (Coordinated Universal Time),https://slaygrlslay.com/category/podcast/,https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5ee50b41ed4e8503047d21c6_slay%20girl%20slay%20icon.png,Slay Girl Slay is a media and tech company that showcases the positive narrative of women of color on all platforms.,"<p>Slay Girl Slay is a media and tech company dedicated to inspiring and motivating women of color to take up space in the rooms that they stand in, fiercely go after what they deserve, and show up as their most unapologetic, most authentic self. Whether that’s through our sassy girl chat conversations on our wildly popular podcast, pushing the positive narrative, or the bold community of sisterhood we foster.Slay Girl Slay is a media and tech company that showcases the positive narrative of women of color on all platforms including digital, audio, books, social media, and film.This media and tech company is founded by entrepreneur &amp; podcaster Ashley Leggs.</p>",Resource,Podcasts
Journey to Launch,journey-to-launch,5ee2e19f496d2260820fd718,5ee2e838b8db8f49e4666b5c,Fri Jun 12 2020 02:28:08 GMT+0000 (Coordinated Universal Time),Sat Jun 13 2020 17:22:22 GMT+0000 (Coordinated Universal Time),Sat Jun 13 2020 17:53:49 GMT+0000 (Coordinated Universal Time),https://www.journeytolaunch.com/podcastindex/,https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5ee50b4cba95a6bb6c1f88e5_journey%20to%20launch%20icon.png,"Through this site, Journey to Launch, I want to teach you what I’ve learned through a little trial and error and a lot of discipline over the years. My goal is to help you eliminate debt, save more money and increase your net worth.","<p>Hi! I’m Jamila, creator of the blog and podcast, Journey To Launch. I’m a wife and mom of three small children. and I’m a Certified Financial Education Instructor (CFEI). I was born on the gorgeous island of Jamaica and grew up in the famous borough of Brooklyn (#bkallday). Raised by a single mom, I learned the concept of hard work and the value of money at a very early age. While my friends were blowing their money on the latest fads (I admit, I sometimes did too), I was saving for my first real estate property, which I was able to buy right out of college, at the age of 22.The lessons I’ve learned, have allowed me to become savvy in budgeting and all things personal finance. Because of my money habits, my family and I are debt free (besides the mortgage) and are on our way to becoming financially independent by the age of 40. I love to teach, inspire and help others jumpstart their journey to financial freedom!Through this site, Journey to Launch, I want to teach you what I’ve learned through a little trial and error and a lot of discipline over the years. My goal is to help you eliminate debt, save more money and increase your net worth.</p>",Resource,Podcasts
The Black Guy Who Tips,the-black-guy-who-tips,5ee2e19f496d2260820fd718,5ee2e8387437a84bfaa89255,Fri Jun 12 2020 02:28:08 GMT+0000 (Coordinated Universal Time),Sat Jun 13 2020 17:30:57 GMT+0000 (Coordinated Universal Time),Sat Jun 13 2020 17:53:49 GMT+0000 (Coordinated Universal Time),https://www.theblackguywhotips.com/category/podcast-episodes/,https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5ee50d2f0258e16f3a18d45e_black%20guy%20who%20tips.jpg,"The Black Guy Who Tips is a podcast from the minds of Rod and Karen, a black, southern married couple who enjoy pop culture, politics and comedy.","<p>The Black Guy Who Tips is a podcast from the minds of Rod and Karen, a black, southern married couple who enjoy pop culture, politics and comedy. Rod and Karen have been together since they were 16 and have been married since 2002. The show has been mentioned in The Huffington Post, The Daily Beast, The Washington Post, The New York Times, The Los Angeles Times, Bloomberg.com, Vox.com, BET.com, and  written about on Ebony.com. The show has also been featured on National Public Radio, Revolt Tv, and  Vice News Tonight on HBO.  Besides consistently being the number one comedy podcast on Podomatic.com and in the top 100 of comedy podcasts on Stitcher Radio, the podcast has featured guests such as, podcasters Keith and Chemda from Keith and the Girl, comedian Roy Wood Jr, Adult Film Star Sara Jay, ESPN contributor Bomani Jones, Journalist Jemele Hill, comedian/activist Elon James White, rapper/singer Phonte Coleman, comedian/writer Rae Sanni, comedian Janelle James, poet/author Bassey Ikpi and NBA Shooting Guard Anthony Morrow among others.</p>",Resource,Podcasts
Black Family Table Talk,black-family-table-talk,5ee2e19f496d2260820fd718,5ee2e838add9ef83c5b71fc2,Fri Jun 12 2020 02:28:08 GMT+0000 (Coordinated Universal Time),Sat Jun 13 2020 17:30:39 GMT+0000 (Coordinated Universal Time),Sat Jun 13 2020 17:53:49 GMT+0000 (Coordinated Universal Time),https://blackfamilytabletalk.com,https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5ee50b76f3efc1316ee6ef01_black%20family%20table%20talk.jpg,"Listen in weekly as we discover and share stories, life lessons, and new ways to build a strong black family.","<p>After 30 years of marriage and raising four children, we struggled to stay married and encourage our children to thrive. We want to share what worked for us and what didn't. It is our hope and prayer that by sharing our parenting and marriage story (along with those of others), you will save time, pain, hardship, and most importantly, become inspired. The Black Family Table Talk is a ""kitchen table style"" podcast and blog created to candidly share and discover ways to build the Black family, the foundation of the community. We want to engage and challenge you to join us each week as we explore:How to invigorate Black love with healthy relationship goals.Parenting and the Black family.Voting rights and strengthening the Black community. Black economics and wealth-building.     Join our determined community as we take this journey together. We aim to strengthen our families, put an end to the cycles of dysfunction, and explore ways to become #BlackFamilyStrong.</p>",Resource,Podcasts
Ask a Black Woman,ask-a-black-woman,5ee2e19f496d2260820fd718,5ee2e8385a0fa8cd66897910,Fri Jun 12 2020 02:28:08 GMT+0000 (Coordinated Universal Time),Sat Jun 13 2020 17:23:15 GMT+0000 (Coordinated Universal Time),Sat Jun 13 2020 17:53:49 GMT+0000 (Coordinated Universal Time),https://podcasts.apple.com/us/podcast/ask-a-black-woman/id1349812182,https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5ee50b809f82302a80db90f3_ask%20a%20black%20woman%20icon.jpg,This is where you Ask A Black Woman anything but... You betta be ready for a real answer!,<p>This is where you Ask A Black Woman anything but... You betta be ready for a real answer!</p>,Resource,Podcasts
Friends Like Us,friends-like-us,5ee2e19f496d2260820fd718,5ee2e8375a0fa8140689790f,Fri Jun 12 2020 02:28:07 GMT+0000 (Coordinated Universal Time),Sat Jun 13 2020 17:23:27 GMT+0000 (Coordinated Universal Time),Sat Jun 13 2020 17:53:49 GMT+0000 (Coordinated Universal Time),https://podtail.com/podcast/friendslikeus/,https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5ee50b8dc1a7f016ffb219a4_friends%20like%20us%20icon.jpg,A podcast featuring women of color with different views on topics hosted by Marina Franklin.,<p>A podcast featuring women of color with different views on topics hosted by Marina Franklin.</p>,Resource,Podcasts
In Black America,in-black-america,5ee2e19f496d2260820fd718,5ee2e8371c268c55f058be9b,Fri Jun 12 2020 02:28:07 GMT+0000 (Coordinated Universal Time),Sat Jun 13 2020 17:31:33 GMT+0000 (Coordinated Universal Time),Sat Jun 13 2020 17:53:49 GMT+0000 (Coordinated Universal Time),https://www.npr.org/podcasts/381443555/in-black-america,https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5ee50b9f7233d06c1a3d5102_in%20black%20america%20icon.jpg,"Produced at KUT, In Black America is a long-running, nationally syndicated program dedicated to all facets of the African American experience.","<p>Produced at KUT, In Black America is a long-running, nationally syndicated program dedicated to all facets of the African American experience. John Hanson profiles a diverse selection of current and historically significant figures whose stories help illuminate life in Black America. Guests include civil rights leaders, educators, artists, athletes and writers describing their experiences, achievements and work in chronicling and advancing the quality of African American life.</p>",Resource,Podcasts
The Gifted Connection,the-gifted-connection,5ee2e19f496d2260820fd718,5ee2e837d2f436515ebc05d9,Fri Jun 12 2020 02:28:07 GMT+0000 (Coordinated Universal Time),Sat Jun 13 2020 17:31:51 GMT+0000 (Coordinated Universal Time),Sat Jun 13 2020 17:53:49 GMT+0000 (Coordinated Universal Time),https://anchor.fm/nathan-mcclinton,https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5ee50ba892b8eb012f1532a4_the%20gifted%20connection%20icon.jpg,Nathan McClinton is a Millennial Inspirational Enthusiast committed to helping you shatter your untapped potential and live out your dreams!,"<p>Nathan McClinton is a Millennial Inspirational Enthusiast committed to helping you shatter your untapped potential and live out your dreams!The Gifted Connection is your safe place to live, learn, grow, and BECOME your best self! Join me, as I help you to live out your full potential through the expression of your God given Gift! Your Gift is about to Make ROOM for you. The question is...are you ready?</p>",Resource,Podcasts
The New Black Panther Party,the-new-black-panther-party,5ee2e19f496d2260820fd718,5ee2e83701e58116181002bd,Fri Jun 12 2020 02:28:07 GMT+0000 (Coordinated Universal Time),Sat Jun 13 2020 17:24:07 GMT+0000 (Coordinated Universal Time),Sat Jun 13 2020 17:53:49 GMT+0000 (Coordinated Universal Time),https://www.stitcher.com/podcast/blogtalkradio/the-new-black-panther-party,https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5ee50bb57c8944006e43fb7c_the%20black%20panther%20party%20icon.jpg,THE OFFICIAL BLOG TALK RADIO SHOW FOR THE NEW BLACK PANTHER PARTY. BLACK POWER ! ALL POWER TO THE PEOPLE !,<p>THE OFFICIAL BLOG TALK RADIO SHOW FOR THE NEW BLACK PANTHER PARTY. BLACK POWER ! ALL POWER TO THE PEOPLE !</p>,Resource,Podcasts
