Name,Slug,Collection ID,Item ID,Created On,Updated On,Published On,External Link,Short Description,Long Description,Thumbnail,Resource Type
Brooklyn Bail Fund,brooklyn-bail-fund,5ee4251b187c830b6d64d64d,5ee42595e926f5c9d91a56b1,Sat Jun 13 2020 01:02:13 GMT+0000 (Coordinated Universal Time),Sun Jun 14 2020 01:58:59 GMT+0000 (Coordinated Universal Time),Sun Jun 14 2020 02:32:35 GMT+0000 (Coordinated Universal Time),https://brooklynbailfund.org/donation-form,Brooklyn Community Bail Fund secures the freedom of New Yorkers who would otherwise be detained pretrial due to their poverty alone.,"<p>Brooklyn Community Bail Fund secures the freedom of New Yorkers who would otherwise be detained pretrial due to their poverty alone. We are committed to challenging the criminalization of race, poverty and immigration status, the practice of putting a price on fundamental rights, and the persistent myth that bail is a necessary element of the justice system.Leveraging our groundbreaking work as a charitable bail fund, BCBF joined with other community-based organizations, immigration advocates and legal services providers to form the New York Immigrant Freedom Fund program (NYIFF). Operated by BCBF, the NYIFF program secures the freedom of New Yorkers held in ICE detention who cannot afford to pay bond.</p>",https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5ee584551f0821bacfc12afc_Brroklyn%20Bail%20Fund.jpg,Donate
Minnesota Freedom Fund,minnesota-freedom-fund,5ee4251b187c830b6d64d64d,5ee425954be6ff66b7eb38c4,Sat Jun 13 2020 01:02:13 GMT+0000 (Coordinated Universal Time),Sun Jun 14 2020 02:20:56 GMT+0000 (Coordinated Universal Time),Sun Jun 14 2020 02:32:35 GMT+0000 (Coordinated Universal Time),https://minnesotafreedomfund.org/donate,"The Minnesota Freedom Fund pays criminal bail and immigration bond for those who cannot afford to as we seek to end discriminatory, coercive, and oppressive jailing.","<p>WE VALUE A SOCIETY THAT VALUES ITS PEOPLE, THEIR FREEDOM AND RECOGNIZES THEIR CONTRIBUTION TO THE GREATER GOOD. A SOCIETY THAT DOES NOT CONDITION PRETRIAL FREEDOM ON CLASS OR IDENTITY, THAT HAS ENDED MASS INCARCERATION, AND THAT INVESTS IN RESTORATIVE AND TRANSFORMATIVE JUSTICE.</p>",https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5ee58723a605db44c2cf9bac_minnesota%20freedom%20fund.jpeg,Donate
NYPD Police Reform,nypd-police-reform,5ee4251b187c830b6d64d64d,5ee42594c2aba729e6939ce8,Sat Jun 13 2020 01:02:12 GMT+0000 (Coordinated Universal Time),Sun Jun 14 2020 02:21:59 GMT+0000 (Coordinated Universal Time),Sun Jun 14 2020 02:32:35 GMT+0000 (Coordinated Universal Time),https://northstarfund.org/give/donate/donate-to-communities-united-for-police-reform/,"North Star Fund is the fiscal sponsor for Communities United for Police Reform (CPR), a campaign to end discriminatory policing practices in New York and to build a lasting movement.","<p>North Star Fund is the fiscal sponsor for Communities United for Police Reform (CPR), a campaign to end discriminatory policing practices in New York and to build a lasting movement that promotes public safety and policing practices based on cooperation and respect. Your donation will go towards building the capacity of New Yorkers most affected by abusive and discriminatory policing.North Star Fund is a 501(c)3 charitable organization. Contributions to North Star Fund are tax deductible to the fullest extent of the law.</p>",https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5ee589c5f94061635f02f5f7_North%20Star%20Fund.jpeg,Donate
Minneapolis Reclaim the Block,minneapolis-reclaim-the-bloack,5ee4251b187c830b6d64d64d,5ee42594eb443969bd9cbf3d,Sat Jun 13 2020 01:02:12 GMT+0000 (Coordinated Universal Time),Mon Jun 29 2020 21:52:10 GMT+0000 (Coordinated Universal Time),Mon Jun 29 2020 21:57:45 GMT+0000 (Coordinated Universal Time),https://secure.everyaction.com/zae4prEeKESHBy0MKXTIcQ2,"We believe health, safety and resiliency exist without police of any kind.","<p>Reclaim the Block began in 2018 and organizes Minneapolis community and city council members to move money from the police department into other areas of the city’s budget that truly promote community health and safety. We believe health, safety and resiliency exist without police of any kind. We organize around policies that strengthen community-led safety initiatives and reduce reliance on police departments. We do not believe that increased regulation of or public engagement with the police will lead to safer communities, as community testimony and documented police conduct suggest otherwise.</p>",https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5efa626b05925a9874993cad_Reclaim-the-Block.png,Donate
The Marshall Project,the-marshall-project,5ee4251b187c830b6d64d64d,5ee4259467a61c7e1a63d7d4,Sat Jun 13 2020 01:02:12 GMT+0000 (Coordinated Universal Time),Sun Jun 14 2020 02:25:31 GMT+0000 (Coordinated Universal Time),Sun Jun 14 2020 02:32:35 GMT+0000 (Coordinated Universal Time),https://www.themarshallproject.org/donate,"Our journalism establishes facts, exposes failures and examines solutions for a criminal justice system in crisis.","<p>The Marshall Project is a nonpartisan, nonprofit news organization that seeks to create and sustain a sense of national urgency about the U.S. criminal justice system. We achieve this through award-winning journalism, partnerships with other news outlets and public forums. In all of our work we strive to educate and enlarge the audience of people who care about the state of criminal justice.</p>",https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5ee58a9a18269a7a383e8450_The%20Marshall%20Project.png,Donate
ACLU,aclu,5ee4251b187c830b6d64d64d,5ee42594bd98392cb1fe952c,Sat Jun 13 2020 01:02:12 GMT+0000 (Coordinated Universal Time),Sun Jun 14 2020 02:26:14 GMT+0000 (Coordinated Universal Time),Sun Jun 14 2020 02:32:35 GMT+0000 (Coordinated Universal Time),https://www.aclu.org/action/,"Black people are being murdered and brutalized by police with near impunity. Act with us to end police brutality, demand racial justice, and defend our right to protest.","<p>The ACLU has evolved in the years since from this small group of idealists into the nation’s premier defender of the rights enshrined in the U.S. Constitution. With more than 1.5 million members, nearly 300 staff attorneys, thousands of volunteer attorneys, and offices throughout the nation, the ACLU of today continues to fight government abuse and to vigorously defend individual freedoms including speech and religion, a woman’s right to choose, the right to due process, citizens’ rights to privacy and much more. The ACLU stands up for these rights even when the cause is unpopular, and sometimes when nobody else will. While not always in agreement with us on every issue, Americans have come to count on the ACLU for its unyielding dedication to principle. The ACLU has become so ingrained in American society that it is hard to imagine an America without it.</p>",https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5ee58ac318269a483d3e8457_ACLU.jpg,Donate
Social Justice Matters,social-justice-matters,5ee4251b187c830b6d64d64d,5ee42593875e524690fe9385,Sat Jun 13 2020 01:02:11 GMT+0000 (Coordinated Universal Time),Sun Jun 14 2020 02:26:55 GMT+0000 (Coordinated Universal Time),Sun Jun 14 2020 02:32:35 GMT+0000 (Coordinated Universal Time),https://www.socialjusticematters.org/,"Social Justice Matters (SJM) is a local grassroots non-profit organization. Our members are committed to active inquiry into matters of race in our society, and to working towards an equitable community.","<p>Social Justice Matters (SJM) is a local grassroots non-profit organization. Our members are committed to active inquiry into matters of race in our society, and to working towards an equitable community.  SJM serves as a resource for community concerns, and facilitates truthful and meaningful discussions and action about race and related topics.Social Justice Matters is committed to exploring the values and opportunities arising from our diverse communities, and to working together to foster equity and challenge racism, to achieve greater social justice.</p>",https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5ee58aedb15d0517aa25e2dc_social%20justice%20matters.jpg,Donate
Campaign Zero,campaign-zero,5ee4251b187c830b6d64d64d,5ee42593eaa3e8bd2e3dd7d1,Sat Jun 13 2020 01:02:11 GMT+0000 (Coordinated Universal Time),Sun Jun 14 2020 02:28:10 GMT+0000 (Coordinated Universal Time),Sun Jun 14 2020 02:32:35 GMT+0000 (Coordinated Universal Time),https://www.joincampaignzero.org/#vision,"We are calling on local, state, and federal lawmakers to take immediate action to adopt data-driven policy solutions to end this violence and hold police accountable.","<p>Funds donated to Campaign Zero support the analysis of policing practices across the country, research to identify effective solutions to end police violence, technical assistance to organizers leading police accountability campaigns and the development of model legislation and advocacy to end police violence nationwide.</p>",https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5ee58b37e1514f0e0a91990d_campaign%20zero.jpg,Donate
NAACP Legal Defense Fund,naacp-legal-defense-fund,5ee4251b187c830b6d64d64d,5ee425939f12e1db4cc7a3df,Sat Jun 13 2020 01:02:11 GMT+0000 (Coordinated Universal Time),Sun Jun 14 2020 02:43:23 GMT+0000 (Coordinated Universal Time),Sun Jun 14 2020 02:45:55 GMT+0000 (Coordinated Universal Time),https://org2.salsalabs.com/o/6857/p/salsa/donation/common/public/?donate_page_KEY=15780&_ga=2.35717155.2063942164.1590824273-1161863773.1590824273,"The NAACP Legal Defense and Educational Fund, Inc. is America’s premier legal organization fighting for racial justice.","<p>The NAACP Legal Defense and Educational Fund, Inc. is America’s premier legal organization fighting for racial justice. Through litigation, advocacy, and public education, LDF seeks structural changes to expand democracy, eliminate disparities, and achieve racial justice in a society that fulfills the promise of equality for all Americans. LDF also defends the gains and protections won over the past 75 years of civil rights struggle and works to improve the quality and diversity of judicial and executive appointments.LDF is a 501(c)(3) nonprofit organization.</p>",https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5ee58b6d0258e1e8f619a051_NAACP%20Legal%20defense%20fund.jpg,Donate
BLM Fund,blm-fund,5ee4251b187c830b6d64d64d,5ee4259365ac01afe6fd8a68,Sat Jun 13 2020 01:02:11 GMT+0000 (Coordinated Universal Time),Sun Jun 14 2020 02:30:07 GMT+0000 (Coordinated Universal Time),Sun Jun 14 2020 02:32:35 GMT+0000 (Coordinated Universal Time),https://secure.actblue.com/donate/ms_blm_homepage_2019,We are working for a world where Black lives are no longer systematically targeted for demise.,"<p>#BlackLivesMatter was founded in 2013 in response to the acquittal of Trayvon Martin’s murderer. Black Lives Matter Foundation, Inc is a global organization in the US, UK, and Canada, whose mission is to eradicate white supremacy and build local power to intervene in violence inflicted on Black communities by the state and vigilantes. By combating and countering acts of violence, creating space for Black imagination and innovation, and centering Black joy, we are winning immediate improvements in our lives.</p>",https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5ee58bae921007b552f4c6ce_Black%20lives%20matter.png,Donate
