Name,Slug,Collection ID,Item ID,Created On,Updated On,Published On,Title,Author,Bookshop.org link,Short description,Resource type,Book type,Category,Long Description,Thumbnail
Another Country,another-country,5ee119e7a0db1f13edda4aa0,5ee15c5055f8d275fd4f9359,Wed Jun 10 2020 22:18:56 GMT+0000 (Coordinated Universal Time),Wed Jun 10 2020 23:21:13 GMT+0000 (Coordinated Universal Time),Wed Jun 10 2020 23:54:20 GMT+0000 (Coordinated Universal Time),,James Baldwin,https://bookshop.org/books/another-country/9780679744719,"Another Country is a stunning novel of passions--sexual, racial, political, and artistic.",Books,,Education information,"<p>Set in Greenwich Village, Harlem, and France, among other locales, Another Country is a novel of passions--sexual, racial, political, artistic--that is stunning for its emotional intensity and haunting sensuality, depicting men and women, blacks and whites, stripped of their masks of gender and race by love and hatred at the most elemental and sublime.</p>",https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5ee16ae7f6489da642887b5f_book_anotherCountry.jpg
Between the World and Me,between-the-world-and-me,5ee119e7a0db1f13edda4aa0,5ee15c50b3b4dc946be0df7f,Wed Jun 10 2020 22:18:56 GMT+0000 (Coordinated Universal Time),Thu Jun 11 2020 01:28:53 GMT+0000 (Coordinated Universal Time),Thu Jun 11 2020 01:29:49 GMT+0000 (Coordinated Universal Time),,Tanehisi Coates,https://bookshop.org/books/between-the-world-and-me/9780812993547,Ta-Nehisi Coates offers a powerful new framework for understanding our nation's history and current crisis.,Books,,Education information,"<p>In a profound work that pivots from the biggest questions about American history and ideals to the most intimate concerns of a father for his son, Ta-Nehisi Coates offers a powerful new framework for understanding our nation's history and current crisis. Americans have built an empire on the idea of ""race,"" a falsehood that damages us all but falls most heavily on the bodies of black women and men--bodies exploited through slavery and segregation, and, today, threatened, locked up, and murdered out of all proportion. What is it like to inhabit a black body and find a way to live within it? And how can we all honestly reckon with this fraught history and free ourselves from its burden?Between the World and Me is Ta-Nehisi Coates's attempt to answer these questions in a letter to his adolescent son. Coates shares with his son--and readers--the story of his awakening to the truth about his place in the world through a series of revelatory experiences, from Howard University to Civil War battlefields, from the South Side of Chicago to Paris, from his childhood home to the living rooms of mothers whose children's lives were taken as American plunder. Beautifully woven from personal narrative, reimagined history, and fresh, emotionally charged reportage, Between the World and Me clearly illuminates the past, bracingly confronts our present, and offers a transcendent vision for a way forward.</p>",https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5ee16b319dc5317712f0362b_book_betweenTheWorldAndMe.jpg
We Were 8 Years in Power,we-were-8-years-in-power,5ee119e7a0db1f13edda4aa0,5ee15c4f4ae3cef496b97935,Wed Jun 10 2020 22:18:55 GMT+0000 (Coordinated Universal Time),Wed Jun 10 2020 23:35:02 GMT+0000 (Coordinated Universal Time),Wed Jun 10 2020 23:54:20 GMT+0000 (Coordinated Universal Time),,Tanehisi Coates,https://bookshop.org/books/we-were-eight-years-in-power-an-american-tragedy/9780399590573,Ta-Nehisi Coates explores the tragic echoes of the unprecedented election of a black president and the vicious backlash that followed.,Books,,Education information,"<p>""We were eight years in power"" was the lament of Reconstruction-era black politicians as the American experiment in multiracial democracy ended with the return of white supremacist rule in the South. In this sweeping collection of new and selected essays, Ta-Nehisi Coates explores the tragic echoes of that history in our own time: the unprecedented election of a black president followed by a vicious backlash that fueled the election of the man Coates argues is America's ""first white president.""But the story of these present-day eight years is not just about presidential politics. This book also examines the new voices, ideas, and movements for justice that emerged over this period--and the effects of the persistent, haunting shadow of our nation's old and unreconciled history. Coates powerfully examines the events of the Obama era from his intimate and revealing perspective--the point of view of a young writer who begins the journey in an unemployment office in Harlem and ends it in the Oval Office, interviewing a president.</p>",https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5ee16e24bce7a5242b33ac46_book_weWereEightYearInPower.jpg
From #BlackLivesMatter to Black Liberation,from-blacklivesmatter-to-black-liberation,5ee119e7a0db1f13edda4aa0,5ee15c4f6f203e2747f09437,Wed Jun 10 2020 22:18:55 GMT+0000 (Coordinated Universal Time),Wed Jun 10 2020 23:34:33 GMT+0000 (Coordinated Universal Time),Wed Jun 10 2020 23:54:20 GMT+0000 (Coordinated Universal Time),,Keeanga-Yamahtta Taylor,https://bookshop.org/books/from-blacklivesmatter-to-black-liberation/9781608465620,Will the struggle against police violence reignite a broader push for black liberation?,Books,,Education information,"<p>The eruption of mass protests in the wake of the police murders of Michael Brown in Ferguson, Missouri and Eric Garner in New York City have challenged the impunity with which officers of the law carry out violence against Black people and punctured the illusion of a postracial America. The Black Lives Matter movement has awakened a new generation of activists.In this stirring and insightful analysis, activist and scholar Keeanga-Yamahtta Taylor surveys the historical and contemporary ravages of racism and persistence of structural inequality such as mass incarceration and Black unemployment. In this context, she argues that this new struggle against police violence holds the potential to reignite a broader push for Black liberation.</p>",https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5ee16b609dc53107f9f0367b_book_blackLiberation.jpg
The Condemnation of Blackness,the-condemnation-of-blackness,5ee119e7a0db1f13edda4aa0,5ee15c4f55f8d212fd4f9358,Wed Jun 10 2020 22:18:55 GMT+0000 (Coordinated Universal Time),Wed Jun 10 2020 23:33:36 GMT+0000 (Coordinated Universal Time),Wed Jun 10 2020 23:54:20 GMT+0000 (Coordinated Universal Time),,Khalil Gibran Muhammad,https://bookshop.org/books/the-condemnation-of-blackness-race-crime-and-the-making-of-modern-urban-america-with-a-new-preface/9780674238145,How the myth of black criminality has shaped our society and sense of self.,Books,,Education information,"<p>How did we come to think of race as synonymous with crime? A brilliant and deeply disturbing biography of the idea of black criminality in the making of modern urban America, The Condemnation of Blackness reveals the influence this pernicious myth, rooted in crime statistics, has had on our society and our sense of self. Black crime statistics have shaped debates about everything from public education to policing to presidential elections, fueling racism and justifying inequality. How was this statistical link between blackness and criminality initially forged? Why was the same link not made for whites? In the age of Black Lives Matter and Donald Trump, under the shadow of Ferguson and Baltimore, no questions could be more urgent.</p>",https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5ee16dca90219d559d61b669_book_theCondemnationOfBlackness.jpeg
Racecraft,racecraft,5ee119e7a0db1f13edda4aa0,5ee15c4fb3b4dcab9ae0df7e,Wed Jun 10 2020 22:18:55 GMT+0000 (Coordinated Universal Time),Wed Jun 10 2020 23:32:48 GMT+0000 (Coordinated Universal Time),Wed Jun 10 2020 23:54:20 GMT+0000 (Coordinated Universal Time),,Karen and Barbara Fields,https://bookshop.org/books/racecraft-the-soul-of-inequality-in-american-life/9781781683132,"""Racecraft"" is intimately entwined with other forms of inequality in American life.",Books,,Education information,"<p>Most people assume that racism grows from a perception of human difference: the fact of race gives rise to the practice of racism. Sociologist Karen E. Fields and historian Barbara J. Fields argue otherwise: the practice of racism produces the illusion of race, through what they call ""racecraft."" And this phenomenon is intimately entwined with other forms of inequality in American life. So pervasive are the devices of racecraft in American history, economic doctrine, politics, and everyday thinking that the presence of racecraft itself goes unnoticed.That the promised post-racial age has not dawned, the authors argue, reflects the failure of Americans to develop a legitimate language for thinking about and discussing inequality. That failure should worry everyone who cares about democratic institutions.</p>",https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5ee16d8986e681ea977db5e3_book_racecraft.jpg
#BlackPrivilege,blackprivilege,5ee119e7a0db1f13edda4aa0,5ee15c4fdd0ef16440114a81,Wed Jun 10 2020 22:18:55 GMT+0000 (Coordinated Universal Time),Tue Jul 14 2020 16:09:03 GMT+0000 (Coordinated Universal Time),Tue Jul 14 2020 16:09:11 GMT+0000 (Coordinated Universal Time),,Charlemagne,,"An instant New York Times bestseller! Charlamagne Tha God—the self-proclaimed “Prince of Pissing People Off,” cohost of Power 105.1’s The Breakfast Club, and “the most important voice in hip-hop”—shares his eight principles for unlocking your God-given privilege.",Books,,Education information,"<p>In his new book, Charlamagne Tha God presents his comic, often controversial, and always brutally honest insights on how living an authentic life is the quickest path to success. Beginning with his journey from the small town of Moncks Corner, South Carolina to his headline grabbing interviews with celebrities like Justin Bieber, Jay-Z, Nicki Minaj, Kanye West, and Hillary Clinton, he shares how he turned his troubled early life around by owning his (many) mistakes and refusing to give up on his dreams, even after his controversial opinions got him fired from several on-air jobs. Combining his own story with bold advice and his signature commitment to honesty at all costs, Charlamagne hopes this book will give others the confidence to live their own truths.</p>",https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5ee16a3c198bbf4f05278f52_book_blackPrivilege.jpg
Brown Girl Dreaming,brown-girl-dreaming,5ee119e7a0db1f13edda4aa0,5ee15c4e4fa23cfaf3a0aef1,Wed Jun 10 2020 22:18:54 GMT+0000 (Coordinated Universal Time),Wed Jun 10 2020 23:32:07 GMT+0000 (Coordinated Universal Time),Wed Jun 10 2020 23:54:20 GMT+0000 (Coordinated Universal Time),,Jacqueline Woodson,https://bookshop.org/books/brown-girl-dreaming/9780147515827,"Poems both accessible and emotionally charged, each line a glimpse into a child's soul as she searches for her place in the world.",Books,,Education information,"<p>Raised in South Carolina and New York, Woodson always felt halfway home in each place. In vivid poems, she shares what it was like to grow up as an African American in the 1960s and 1970s, living with the remnants of Jim Crow and her growing awareness of the Civil Rights movement. Touching and powerful, each poem is both accessible and emotionally charged, each line a glimpse into a child's soul as she searches for her place in the world. Woodson's eloquent poetry also reflects the joy of finding her voice through writing stories, despite the fact that she struggled with reading as a child. Her love of stories inspired her and stayed with her, creating the first sparks of the gifted writer she was to become.Includes 7 new poems, including ""Brown Girl Dreaming"".</p>",https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5ee16c419b4618786102f1c7_book_brownGirlDreaming.jpg
I'm Judging You,im-judging-you,5ee119e7a0db1f13edda4aa0,5ee15c4e32092896142c05b1,Wed Jun 10 2020 22:18:54 GMT+0000 (Coordinated Universal Time),Wed Jun 10 2020 23:31:53 GMT+0000 (Coordinated Universal Time),Wed Jun 10 2020 23:54:20 GMT+0000 (Coordinated Universal Time),,Luvvie Ajayi,https://bookshop.org/books/i-m-judging-you-the-do-better-manual/9781627796064,"Humorous essays dissect our cultural obsessions and call out bad behavior in our increasingly digital, connected lives",Books,,Education information,"<p>Luvvie Ajayi is a go-to source for smart takes on pop culture. I'm Judging You is her debut book of humorous essays that dissects our cultural obsessions and calls out bad behavior in our increasingly digital, connected lives. It passes on lessons and side-eyes on life, social media, culture, and fame, from addressing those terrible friends we all have to serious discussions of race and media representation to what to do about your fool cousin sharing casket pictures from Grandma's wake on Facebook.With a lighthearted, razor sharp wit and a unique perspective, I'm Judging You is the handbook the world needs, doling out the hard truths and a road map for bringing some ""act right"" into our lives, social media, and popular culture. It is the Do-Better Manual.</p>",https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5ee16d6635f62ad83b99c3e7_book_imJudgingYou.jpg
The Year of Yes,the-year-of-yes,5ee119e7a0db1f13edda4aa0,5ee15c4edd0ef13a03114a80,Wed Jun 10 2020 22:18:54 GMT+0000 (Coordinated Universal Time),Wed Jun 10 2020 23:31:13 GMT+0000 (Coordinated Universal Time),Wed Jun 10 2020 23:54:20 GMT+0000 (Coordinated Universal Time),,Shonda Rhimes,https://bookshop.org/books/year-of-yes/9781476777122,"Shonda Rhimes shares how saying ""yes"" changed her life.",Books,,Education information,"<p>She's the creator and producer of some of the most groundbreaking and audacious shows on television today. Her iconic characters live boldly and speak their minds. So who would suspect that Shonda Rhimes is an introvert? That she hired a publicist so she could avoid public appearances? That she suffered panic attacks before media interviews?With three children at home and three hit television shows, it was easy for Shonda to say she was simply too busy. But in truth, she was also afraid. And then, over Thanksgiving dinner, her sister muttered something that was both a wake up and a call to arms: You never say yes to anything. Shonda knew she had to embrace the challenge: for one year, she would say YES to everything that scared her.This poignant, intimate, and hilarious memoir explores Shonda's life before her Year of Yes--from her nerdy, book-loving childhood to her devotion to creating television characters who reflected the world she saw around her. The book chronicles her life after her Year of Yes had begun--when Shonda forced herself out of the house and onto the stage; when she learned to explore, empower, applaud, and love her truest self. Yes.</p>",https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5ee16d3635f62ad689998733_book_yearOfYes.jpg
