Name,Slug,Collection ID,Item ID,Created On,Updated On,Published On,City,State,Website,Twitter,Facebook,Instagram,Resource Type,Short Description,Long Description,Thumbnail
The National Alliance Against Racist and Political Repression,the-national-alliance-against-racist-and-political-repression,5ef8d075b2425a0b87c447c6,5ef8d18e2b5df608d86257f5,Sun Jun 28 2020 17:21:18 GMT+0000 (Coordinated Universal Time),Mon Jun 29 2020 00:21:41 GMT+0000 (Coordinated Universal Time),Mon Jun 29 2020 21:57:45 GMT+0000 (Coordinated Universal Time),Chicago,Illinois,https://naarpr.org/,,,,Non Profit Organizations,Organized action against  unjust treatment of individuals because of race or political beliefs.,"<p>The National Alliance Against Racist and Political Repression was  founded in 1973 in Chicago, Illinois to mount organized action against  unjust treatment of individuals because of race or political beliefs.  Its founding grew out of the struggle to free Angela Davis from a racist  frame-up on murder charges surrounding the aborted attempt by Jonathan  Jackson to free his brother, George Jackson and the Soledad Brothers in  1970.</p>",https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5ef934101213606148297911_NationalAllianceAgainstRacistPoliticalRepression.png
Black Lives Matter Chicago,black-lives-matter-chicago,5ef8d075b2425a0b87c447c6,5ef8d18e5ca0089a3ee865c6,Sun Jun 28 2020 17:21:18 GMT+0000 (Coordinated Universal Time),Sun Jun 28 2020 18:18:20 GMT+0000 (Coordinated Universal Time),Mon Jun 29 2020 21:57:45 GMT+0000 (Coordinated Universal Time),Chicago,Illinois,https://www.blacklivesmatterchicago.com/,,,,Non Profit Organizations,#BlackLivesMatter was founded in 2013 in response to the acquittal of Trayvon Martin’s murderer.,"<p>Black Lives Matter Foundation, Inc is a global organization in the US, UK, and Canada, whose mission is to eradicate white supremacy and build local power to intervene in violence inflicted on Black communities by the state and vigilantes. By combating and countering acts of violence, creating space for Black imagination and innovation, and centering Black joy, we are winning immediate improvements in our lives.</p>",https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5ef8deeaf5a4d83d74471730_BLM%20CHI.jpg
National Black Arts,national-black-arts-festival,5ef8d075b2425a0b87c447c6,5ef8d18e2f8e040e35ee2f7e,Sun Jun 28 2020 17:21:18 GMT+0000 (Coordinated Universal Time),Mon Jun 29 2020 21:40:33 GMT+0000 (Coordinated Universal Time),Mon Jun 29 2020 21:57:45 GMT+0000 (Coordinated Universal Time),Atlanta,Georgia,http://nbaf.org/,,,,Non Profit Organizations,"To expose, educate, engage and entertain audiences by presenting and supporting art and artists of African descent.","<p>NBAF (National Black Arts) is a nonprofit organization with a legacy of providing stellar artistic and educational programs in music, dance, film, visual arts, theater, and the literary arts. Celebrated within and outside of Atlanta, NBAF is recognized as the oldest multidisciplinary arts organization in the United States focused exclusively on the arts and on artists of African descent. Through its annual public programs, world-class performances, commissioned works, visual arts programs, and its arts education and public programs, NBAF offers local, national and international audiences experiences that are extraordinary and enriching.</p>",https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5efa5fd0216ce373d6cb7bd7_NBAF.png
Georgia Black United Fund,georgia-black-united-fund,5ef8d075b2425a0b87c447c6,5ef8d18df58995c8dd8e7a46,Sun Jun 28 2020 17:21:17 GMT+0000 (Coordinated Universal Time),Mon Jun 29 2020 21:39:28 GMT+0000 (Coordinated Universal Time),Mon Jun 29 2020 21:57:45 GMT+0000 (Coordinated Universal Time),Atlanta,Georgia,http://www.ga-buf.org/index.html,,,,Non Profit Organizations,GBUF is committed to bringing together the human and financial resources needed to enhance the quality of living for all.,"<p>THE GEORGIA BLACK UNITED FUND continues its work with all members of the organization by providing administrative assistance, program advice, fundraising support, letters of support, and the strength of membership in our multi-purpose agency, allowing the provision of services in the areas that meet general human needs, including youth , education, health, veterans, culture and arts, and overall community development.</p>",https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5efa5f8ffeba115d101ec534_Georgia%20Black%20United%20Fund.png
Racial Justice Action Center,racial-justice-action-center,5ef8d075b2425a0b87c447c6,5ef8d18c3173e491baa50a99,Sun Jun 28 2020 17:21:16 GMT+0000 (Coordinated Universal Time),Mon Jun 29 2020 21:38:42 GMT+0000 (Coordinated Universal Time),Mon Jun 29 2020 21:57:45 GMT+0000 (Coordinated Universal Time),East Point,Georgia,https://www.rjactioncenter.org/,,,,Non Profit Organizations,The Racial Justice Action Center (RJAC) works to build the grassroots leadership and power of communities of color and low income communities,"<p>The Racial Justice Action Center (RJAC) engages in transformative organizing to build the grassroots leadership, power, and capacity of marginalized communities to win political, economic, and social transformation in the Atlanta Metro Area. We engage in intensive leadership development, campaign-based organizing, strategic policy advocacy, and movement building (framed by our political and historical context) in order to advance a collective vision of a radically restructured society, where justice exists for all people.</p>",https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5efa5f603e9373183f09d367_Racial%20Justice%20Action%20Center.jpeg
Black Lives Matter Atlanta,black-lives-matter-atlanta,5ef8d075b2425a0b87c447c6,5ef8d18c7e9801bcb1e8faab,Sun Jun 28 2020 17:21:16 GMT+0000 (Coordinated Universal Time),Sun Jun 28 2020 18:17:03 GMT+0000 (Coordinated Universal Time),Mon Jun 29 2020 21:57:45 GMT+0000 (Coordinated Universal Time),Atlanta,Georgia,https://www.blacklivesmatteratl.org/,,,,Non Profit Organizations,#BlackLivesMatter was founded in 2013 in response to the acquittal of Trayvon Martin’s murderer.,"<p>Black Lives Matter Foundation, Inc is a global organization in the US, UK, and Canada, whose mission is to eradicate white supremacy and build local power to intervene in violence inflicted on Black communities by the state and vigilantes. By combating and countering acts of violence, creating space for Black imagination and innovation, and centering Black joy, we are winning immediate improvements in our lives.</p>",https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5ef8de9d028b64c4a6dbc0c3_BLM%20Atlanta.jpg
BYP100,byp100,5ef8d075b2425a0b87c447c6,5ef8d18c307f5c3beb2b3b74,Sun Jun 28 2020 17:21:16 GMT+0000 (Coordinated Universal Time),Mon Jun 29 2020 00:27:45 GMT+0000 (Coordinated Universal Time),Mon Jun 29 2020 21:57:45 GMT+0000 (Coordinated Universal Time),Atlanta,Georgia,https://www.byp100.org/,,,,Non Profit Organizations,"BYP100 Action Fund is the 501(c)(4) arm of BYP100, a national organization of Black 18-35 year olds dedicated to creating freedom & justice for all Black people","<p>Our work is generally centered on ending systems of anti-Blackness and emphasizing the urgency of protecting folks living on the margins of the margins, including women, girls, femmes, and the gamut of LGBTQ folk. We approach our work through relational organizing which involves community building through a democratic and consensus building process. We stress training in grassroots organizing, fundraising, public policy debate, and electoral organizing. Lastly, we engage in digital content creation (video, graphics, blogging), political education, and consciousness raising.</p>",https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5ef9357ad5cfc658fb498f8b_BYP100.png
Delaware Coalition to Dismantle the New Jim Crow,delaware-coalition-to-dismantle-the-new-jim-crow,5ef8d075b2425a0b87c447c6,5ef8d18c9bb1ba7838d05ea7,Sun Jun 28 2020 17:21:16 GMT+0000 (Coordinated Universal Time),Mon Jun 29 2020 21:36:14 GMT+0000 (Coordinated Universal Time),Mon Jun 29 2020 21:57:45 GMT+0000 (Coordinated Universal Time),,Delaware,https://endnewjimcrowde.org/,,,,Non Profit Organizations,"The Coalition to Dismantle the New Jim Crow is an interfaith, grassroots organization with a vision of racial justice for all in Delaware.","<p>In 2013, members of the study groups gathered together to form the Coalition to Dismantle the New Jim Crow. Within the Coalition, action-oriented committees were formed to increase awareness of the problem and solutions through public forums, foster prevention programs for at-risk youth, promote racial healing,  and to advocate for changes in policy and practices that feed Delaware’s mass incarceration system.</p>",https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5efa5ecc4a04a2aa36cf31a9_Deleware%20coalation%20to%20dismantle%20jim%20crow.jpeg
CT CORE - Organize Now,ct-core-organize-now,5ef8d075b2425a0b87c447c6,5ef8d18ca40e04444a72e864,Sun Jun 28 2020 17:21:16 GMT+0000 (Coordinated Universal Time),Mon Jun 29 2020 00:29:16 GMT+0000 (Coordinated Universal Time),Mon Jun 29 2020 21:57:45 GMT+0000 (Coordinated Universal Time),,Connecticut,https://www.ctcore-organizenow.org/coronactsupport,,,,Non Profit Organizations,Intersectional black led grassroots network dedicated to dismantling systemic racism in Connecticut.,<p>CTCORE-Organize Now! is dedicated to building communities of racial justice freedom fighters to dismantle systemic and structural racism in the state of Connecticut. We achieve our mission through a three-pillared movement building strategy and combine local base building (through our chapters) with issue-focused statewide network building.</p>,https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5ef935d602e6547486b0aae5_CTCoreOrganizeNow.jpg
Black Lives Matter New Haven,black-lives-matter-new-haven,5ef8d075b2425a0b87c447c6,5ef8d18bc32de772add60b39,Sun Jun 28 2020 17:21:15 GMT+0000 (Coordinated Universal Time),Mon Jun 29 2020 21:35:22 GMT+0000 (Coordinated Universal Time),Mon Jun 29 2020 21:57:45 GMT+0000 (Coordinated Universal Time),New Haven,Connecticut,https://www.facebook.com/BLMNH/,,,,Non Profit Organizations,#BlackLivesMatter was founded in 2013 in response to the acquittal of Trayvon Martin’s murderer.,"<p>Black Lives Matter Foundation, Inc is a global organization in the US, UK, and Canada, whose mission is to eradicate white supremacy and build local power to intervene in violence inflicted on Black communities by the state and vigilantes. By combating and countering acts of violence, creating space for Black imagination and innovation, and centering Black joy, we are winning immediate improvements in our lives.</p>",https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5ee58bae921007b552f4c6ce_Black%20lives%20matter.png
Showing Up for Racial Justice Fairfield,showing-up-for-racial-justice-fairfield,5ef8d075b2425a0b87c447c6,5ef8d18bcd05cf8e3c0d4586,Sun Jun 28 2020 17:21:15 GMT+0000 (Coordinated Universal Time),Mon Jun 29 2020 21:34:53 GMT+0000 (Coordinated Universal Time),Mon Jun 29 2020 21:57:45 GMT+0000 (Coordinated Universal Time),Fairfield,Connecticut,https://www.facebook.com/FocoSURJ/,,,,Non Profit Organizations,SURJ’s role as part of a multi-racial movement is to undermine white support for white supremacy and to help build a racially just society.,"<p>SURJ believes that we must ground our organizing in a framework of “mutual interest” -- white supremacy is integral to economic injustice, to maintaining patriarchy and other forms of oppression. Racism and white supremacy keep the many divided for the benefit of the few. We must have an inclusive, open-hearted approach to organizing, calling people into this work rather than creating barriers to participation while maintaining a clear political line. When those of us who are white realize that racial justice is core to our liberation as well, then masses of white people will withdraw support from white supremacy. Together, as part of a powerful multi-racial, cross-class movement for collective liberation we can force the system of white supremacy to crumble.</p>",https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5efa5d3264bd1d39039a4258_Surj.png
Showing Up for Racial Justice Fort Collins,showing-up-for-racial-justice-fort-collins,5ef8d075b2425a0b87c447c6,5ef8d18b2119597731dd7569,Sun Jun 28 2020 17:21:15 GMT+0000 (Coordinated Universal Time),Mon Jun 29 2020 21:34:31 GMT+0000 (Coordinated Universal Time),Mon Jun 29 2020 21:57:45 GMT+0000 (Coordinated Universal Time),Fort Collins,Colorado,https://www.facebook.com/FocoSURJ/,,,,Non Profit Organizations,SURJ’s role as part of a multi-racial movement is to undermine white support for white supremacy and to help build a racially just society.,"<p>SURJ believes that we must ground our organizing in a framework of “mutual interest” -- white supremacy is integral to economic injustice, to maintaining patriarchy and other forms of oppression. Racism and white supremacy keep the many divided for the benefit of the few. We must have an inclusive, open-hearted approach to organizing, calling people into this work rather than creating barriers to participation while maintaining a clear political line. When those of us who are white realize that racial justice is core to our liberation as well, then masses of white people will withdraw support from white supremacy. Together, as part of a powerful multi-racial, cross-class movement for collective liberation we can force the system of white supremacy to crumble.</p>",https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5efa5d3264bd1d39039a4258_Surj.png
Showing Up for Racial Justice Denver,showing-up-for-racial-justice-denver,5ef8d075b2425a0b87c447c6,5ef8d18a6a16c3219e2d5f34,Sun Jun 28 2020 17:21:14 GMT+0000 (Coordinated Universal Time),Mon Jun 29 2020 21:34:18 GMT+0000 (Coordinated Universal Time),Mon Jun 29 2020 21:57:45 GMT+0000 (Coordinated Universal Time),Denver,Colorado,https://www.facebook.com/SURJDenver/,,,,Non Profit Organizations,SURJ’s role as part of a multi-racial movement is to undermine white support for white supremacy and to help build a racially just society.,"<p>SURJ believes that we must ground our organizing in a framework of “mutual interest” -- white supremacy is integral to economic injustice, to maintaining patriarchy and other forms of oppression. Racism and white supremacy keep the many divided for the benefit of the few. We must have an inclusive, open-hearted approach to organizing, calling people into this work rather than creating barriers to participation while maintaining a clear political line. When those of us who are white realize that racial justice is core to our liberation as well, then masses of white people will withdraw support from white supremacy. Together, as part of a powerful multi-racial, cross-class movement for collective liberation we can force the system of white supremacy to crumble.</p>",https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5efa5d3264bd1d39039a4258_Surj.png
Black Lives Matter Denver,black-lives-matter-denver,5ef8d075b2425a0b87c447c6,5ef8d18a5f1c0a8efe738d9e,Sun Jun 28 2020 17:21:14 GMT+0000 (Coordinated Universal Time),Sun Jun 28 2020 18:20:00 GMT+0000 (Coordinated Universal Time),Mon Jun 29 2020 21:57:45 GMT+0000 (Coordinated Universal Time),Denver,Colorado,https://blacklivesmatter5280.wordpress.com/,,,,Non Profit Organizations,#BlackLivesMatter was founded in 2013 in response to the acquittal of Trayvon Martin’s murderer.,"<p>Black Lives Matter Foundation, Inc is a global organization in the US, UK, and Canada, whose mission is to eradicate white supremacy and build local power to intervene in violence inflicted on Black communities by the state and vigilantes. By combating and countering acts of violence, creating space for Black imagination and innovation, and centering Black joy, we are winning immediate improvements in our lives.</p>",https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5ef8df4f8d27df06bba5f193_BLM%20DENVER.png
Showing Up for Racial Justice Colorado Springs,showing-up-for-racial-justice-colorado-springs,5ef8d075b2425a0b87c447c6,5ef8d18acd28ee0a509d62b6,Sun Jun 28 2020 17:21:14 GMT+0000 (Coordinated Universal Time),Mon Jun 29 2020 21:33:59 GMT+0000 (Coordinated Universal Time),Mon Jun 29 2020 21:57:45 GMT+0000 (Coordinated Universal Time),Colorado Springs,Colorado,https://www.showingupforracialjustice.org/,,,,Non Profit Organizations,SURJ’s role as part of a multi-racial movement is to undermine white support for white supremacy and to help build a racially just society.,"<p>SURJ believes that we must ground our organizing in a framework of “mutual interest” -- white supremacy is integral to economic injustice, to maintaining patriarchy and other forms of oppression. Racism and white supremacy keep the many divided for the benefit of the few. We must have an inclusive, open-hearted approach to organizing, calling people into this work rather than creating barriers to participation while maintaining a clear political line. When those of us who are white realize that racial justice is core to our liberation as well, then masses of white people will withdraw support from white supremacy. Together, as part of a powerful multi-racial, cross-class movement for collective liberation we can force the system of white supremacy to crumble.</p>",https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5efa5d3264bd1d39039a4258_Surj.png
Showing Up for Racial Justice Boulder,showing-up-for-racial-justice-boulder,5ef8d075b2425a0b87c447c6,5ef8d18a9e89d61e20792d83,Sun Jun 28 2020 17:21:14 GMT+0000 (Coordinated Universal Time),Mon Jun 29 2020 21:33:46 GMT+0000 (Coordinated Universal Time),Mon Jun 29 2020 21:57:45 GMT+0000 (Coordinated Universal Time),Boulder,Colorado,https://www.showingupforracialjustice.org/,,,,Non Profit Organizations,SURJ’s role as part of a multi-racial movement is to undermine white support for white supremacy and to help build a racially just society.,"<p>SURJ believes that we must ground our organizing in a framework of “mutual interest” -- white supremacy is integral to economic injustice, to maintaining patriarchy and other forms of oppression. Racism and white supremacy keep the many divided for the benefit of the few. We must have an inclusive, open-hearted approach to organizing, calling people into this work rather than creating barriers to participation while maintaining a clear political line. When those of us who are white realize that racial justice is core to our liberation as well, then masses of white people will withdraw support from white supremacy. Together, as part of a powerful multi-racial, cross-class movement for collective liberation we can force the system of white supremacy to crumble.</p>",https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5efa5d3264bd1d39039a4258_Surj.png
Anti Police Terror Project,anti-police-terror-project,5ef8d075b2425a0b87c447c6,5ef8d18a21195948f9dd7568,Sun Jun 28 2020 17:21:14 GMT+0000 (Coordinated Universal Time),Sun Jun 28 2020 18:10:16 GMT+0000 (Coordinated Universal Time),Mon Jun 29 2020 21:57:45 GMT+0000 (Coordinated Universal Time),Oakland,California,http://www.antipoliceterrorproject.org/about,,,,Non Profit Organizations,"Anti Police-Terror Project is building a replicable and sustainable model to end state-sanctioned murder and violence against Black, Brown, and poor people.","<p>The Anti Police-Terror Project is a Black-led, multi-racial, intergenerational coalition that seeks to build a replicable and sustainable model to eradicate police terror in communities of color. We support families surviving police terror in their fight for justice, documenting police abuses and connecting impacted families and community members with resources, legal referrals, and opportunities for healing. APTP began as a project of the ONYX Organizing Committee.</p>",https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5ef8dd04de22d61abf543bc6_Anti-Police-Terror-Project_Web-1.jpg
Showing Up for Racial Justice San Diego,showing-up-for-racial-justice-san-diego,5ef8d075b2425a0b87c447c6,5ef8d189188c03802ca11cc7,Sun Jun 28 2020 17:21:13 GMT+0000 (Coordinated Universal Time),Mon Jun 29 2020 21:33:26 GMT+0000 (Coordinated Universal Time),Mon Jun 29 2020 21:57:45 GMT+0000 (Coordinated Universal Time),San Diego,California,https://www.showingupforracialjustice.org/,,,,Non Profit Organizations,SURJ’s role as part of a multi-racial movement is to undermine white support for white supremacy and to help build a racially just society.,"<p>SURJ believes that we must ground our organizing in a framework of “mutual interest” -- white supremacy is integral to economic injustice, to maintaining patriarchy and other forms of oppression. Racism and white supremacy keep the many divided for the benefit of the few. We must have an inclusive, open-hearted approach to organizing, calling people into this work rather than creating barriers to participation while maintaining a clear political line. When those of us who are white realize that racial justice is core to our liberation as well, then masses of white people will withdraw support from white supremacy. Together, as part of a powerful multi-racial, cross-class movement for collective liberation we can force the system of white supremacy to crumble.</p>",https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5efa5d3264bd1d39039a4258_Surj.png
Alliance of White Anti-Racists Everywhere (AWARE),alliance-of-white-anti-racists-everywhere-aware,5ef8d075b2425a0b87c447c6,5ef8d189f589953afd8e7a45,Sun Jun 28 2020 17:21:13 GMT+0000 (Coordinated Universal Time),Mon Jun 29 2020 17:32:10 GMT+0000 (Coordinated Universal Time),Mon Jun 29 2020 21:57:45 GMT+0000 (Coordinated Universal Time),Los Angeles,California,https://www.awarela.org/,,,,Non Profit Organizations,White People 4 Black Lives / a collective of white folks organizing for racial justice in solidarity with @BLMLA,"<p>A collective of white anti-racists organizing, mobilizing and educating white people for action in multi-racial coalitions to fight anti-Black racism and all forms of state sanctioned violence in LA &amp; beyond. Our primary solidarity partner is BLM-LA.</p>",https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5efa259653d07e84025455ca_AWARE.png
Showing Up for Racial Justice Bay Area,showing-up-for-racial-justice-bay-area,5ef8d075b2425a0b87c447c6,5ef8d1890bef5704381d209e,Sun Jun 28 2020 17:21:13 GMT+0000 (Coordinated Universal Time),Mon Jun 29 2020 21:33:12 GMT+0000 (Coordinated Universal Time),Mon Jun 29 2020 21:57:45 GMT+0000 (Coordinated Universal Time),Bay Area,California,https://www.surjbayarea.org/,,,,Non Profit Organizations,SURJ’s role as part of a multi-racial movement is to undermine white support for white supremacy and to help build a racially just society.,"<p>SURJ believes that we must ground our organizing in a framework of “mutual interest” -- white supremacy is integral to economic injustice, to maintaining patriarchy and other forms of oppression. Racism and white supremacy keep the many divided for the benefit of the few. We must have an inclusive, open-hearted approach to organizing, calling people into this work rather than creating barriers to participation while maintaining a clear political line. When those of us who are white realize that racial justice is core to our liberation as well, then masses of white people will withdraw support from white supremacy. Together, as part of a powerful multi-racial, cross-class movement for collective liberation we can force the system of white supremacy to crumble.</p>",https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5efa5d3264bd1d39039a4258_Surj.png
Color Of Change,color-of-change,5ef8d075b2425a0b87c447c6,5ef8d18912deaf5f58a9b901,Sun Jun 28 2020 17:21:13 GMT+0000 (Coordinated Universal Time),Mon Jun 29 2020 21:32:56 GMT+0000 (Coordinated Universal Time),Mon Jun 29 2020 21:57:45 GMT+0000 (Coordinated Universal Time),Oakland,California,colorofchange.org,,,,Non Profit Organizations,"We design campaigns powerful enough to end practices that unfairly hold Black people back, & champion solutions that move us all forward.","<p>Color Of Change is the nation’s largest online racial justice organization.We help people respond effectively to injustice in the world around us. As a national online force driven by 1.7 million members, we move decision-makers in corporations and government to create a more human and less hostile world for Black people in America.Our campaigns and initiatives win changes that matter. By designing strategies powerful enough to fight racism and injustice—in politics and culture, in the work place and the economy, in criminal justice and community life, and wherever they exist—we are changing both the written and unwritten rules of society. We mobilize our members to end practices and systems that unfairly hold Black people back, and champion solutions that move us all forward.Until justice is real.</p>",https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5ee508a3d99a791e43a5f6e9_Color%20of%20Change.jpg
Black Lives Matter Long Beach,black-lives-matter-long-beach,5ef8d075b2425a0b87c447c6,5ef8d1892b5df650046257f4,Sun Jun 28 2020 17:21:13 GMT+0000 (Coordinated Universal Time),Mon Jun 29 2020 21:32:44 GMT+0000 (Coordinated Universal Time),Mon Jun 29 2020 21:57:45 GMT+0000 (Coordinated Universal Time),Long Beach,California,https://blacklivesmatterlbc.wordpress.com/about/,,,,Non Profit Organizations,#BlackLivesMatter was founded in 2013 in response to the acquittal of Trayvon Martin’s murderer.,"<p>Black Lives Matter Foundation, Inc is a global organization in the US, UK, and Canada, whose mission is to eradicate white supremacy and build local power to intervene in violence inflicted on Black communities by the state and vigilantes. By combating and countering acts of violence, creating space for Black imagination and innovation, and centering Black joy, we are winning immediate improvements in our lives.</p>",https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5ee58bae921007b552f4c6ce_Black%20lives%20matter.png
Black Lives Matter L.A.,black-lives-matter-l-a,5ef8d075b2425a0b87c447c6,5ef8d188e1f9133751a0bee6,Sun Jun 28 2020 17:21:12 GMT+0000 (Coordinated Universal Time),Sun Jun 28 2020 18:21:02 GMT+0000 (Coordinated Universal Time),Mon Jun 29 2020 21:57:45 GMT+0000 (Coordinated Universal Time),Los Angeles,California,https://www.blmla.org/,,,,Non Profit Organizations,#BlackLivesMatter was founded in 2013 in response to the acquittal of Trayvon Martin’s murderer.,"<p>Black Lives Matter Foundation, Inc is a global organization in the US, UK, and Canada, whose mission is to eradicate white supremacy and build local power to intervene in violence inflicted on Black communities by the state and vigilantes. By combating and countering acts of violence, creating space for Black imagination and innovation, and centering Black joy, we are winning immediate improvements in our lives.</p>",https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5ef8df8dff9bfd6adb7596f9_BLM%20LA.jpg
White People for Black Lives,white-people-for-black-lives,5ef8d075b2425a0b87c447c6,5ef8d188307f5c5f302b3b72,Sun Jun 28 2020 17:21:12 GMT+0000 (Coordinated Universal Time),Mon Jun 29 2020 00:36:08 GMT+0000 (Coordinated Universal Time),Mon Jun 29 2020 21:57:45 GMT+0000 (Coordinated Universal Time),Phoenix,Arizona,https://www.awarela.org/white-people-4-black-lives,,,,Non Profit Organizations,White People 4 Black Lives (WP4BL) is a white anti-racist collective and activist project. We operate within a national network of white anti-racists called Showing Up for Racial Justice (SURJ).,"<p>Our work is rooted in showing up for racial justice and acting in alliance with Black Lives Matter: Los Angeles, the Movement 4 Black Lives, and other partners. With full recognition of the privilege we as white people have that allows us to ignore or minimize issues of race and racism, we make a conscious decision to notice, call out, and challenge institutional and cultural racism. Standing on the shoulders of those who came before us, such as white abolitionists like John Brown and the Grimke sisters, and white organizers fighting segregation like Anne Braden, we approach our work with an intersectional lens and a commitment to act accountably in our relationships and alliances with people of color and people-of-color-led organizations. Our work includes fundraising, internal and external education, mobilization, recruitment and networking, action planning, and cultural transformation. We believe strongly that white folks can play a progressive and supportive role in amplifying the voices and demands of Black people, moving the white community to take a more active and participatory stance for racial justice, and apply strategic pressure on institutions to change racist policies.</p>",https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5ef93774519c2e32ee5debd0_Whitepeopleforblacklives.jpeg
Black Lives Matter Little Rock,black-lives-matter-little-rock,5ef8d075b2425a0b87c447c6,5ef8d18736fe0256860a2194,Sun Jun 28 2020 17:21:11 GMT+0000 (Coordinated Universal Time),Mon Jun 29 2020 00:36:30 GMT+0000 (Coordinated Universal Time),Mon Jun 29 2020 21:57:45 GMT+0000 (Coordinated Universal Time),Little Rock,Arkansas,https://www.facebook.com/BLMLittleRock/,,,,Non Profit Organizations,#BlackLivesMatter was founded in 2013 in response to the acquittal of Trayvon Martin’s murderer.,"<p>Black Lives Matter Foundation, Inc is a global organization in the US, UK, and Canada, whose mission is to eradicate white supremacy and build local power to intervene in violence inflicted on Black communities by the state and vigilantes. By combating and countering acts of violence, creating space for Black imagination and innovation, and centering Black joy, we are winning immediate improvements in our lives.</p>",https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5ef937893d158d69d133e9ac_BLMLittleRock.jpg
Phoenix Local Organizing Committee for Justice or Else,phoenix-local-organizing-committee-for-justice-or-else,5ef8d075b2425a0b87c447c6,5ef8d187c32de76d5cd60b38,Sun Jun 28 2020 17:21:11 GMT+0000 (Coordinated Universal Time),Mon Jun 29 2020 21:32:02 GMT+0000 (Coordinated Universal Time),Mon Jun 29 2020 21:57:45 GMT+0000 (Coordinated Universal Time),Phoenix,Arizona,https://phxloc.org/,,,,Non Profit Organizations,"We want to have a discussion with Black men about our community, the pain we face, the healing we need and the responsibility we must accept as men to defend as well as protect our community and uplift our woman and children.","<p>We want to have a discussion with Black men about our community, the pain we face, the healing we need and the responsibility we must accept as men to defend as well as protect our community and uplift our woman and children. If we are going to have a better future then the weight is on us to produce it as men. We hope this conversation can serve as a first step for Black men to take their rightful place along side our sisters in a struggle to better Black Lives.</p>",https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5efa5dd09432d46f154ffa00_Justice%20or%20Else%20Phoenix.jpeg
Atlanta Solidarity Fund,atlanta-solidarity-fund,5ef8d075b2425a0b87c447c6,5ef8d1875caef54ec21eaaf9,Sun Jun 28 2020 17:21:11 GMT+0000 (Coordinated Universal Time),Sun Jun 28 2020 18:13:15 GMT+0000 (Coordinated Universal Time),Mon Jun 29 2020 21:57:45 GMT+0000 (Coordinated Universal Time),Georgia,Atlanta,http://atlsolidarity.org/,,,,Non Profit Organizations,Resources we provide for protesters experiencing repression.,<p>Resources we provide for protesters experiencing repression.</p>,https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5ef8ddbaf0c3541b34b52e85_AtlantaSolidarityFund.png
